,source,target,weight
0,green,health,1
1,green,living,1
2,green,sustainability,1
3,green,energy,1
4,green,conservation,1
5,green,climatechange,1
6,green,ocean,1
7,green,renewables,1
8,green,globalwarming,1
9,green,decarbonizingenergy,1
10,green,emissions,1
11,green,biodiversity,1
12,green,carbon,1
13,innovationfund,cleantech,1
14,innovationfund,eugreendeal,1
15,innovationfund,euadaptationstrategy,1
16,innovationfund,climatechange,1
17,innovationfund,CleanTech,1
18,innovationfund,buildbackbetter,1
19,innovationfund,greenrecovery,1
20,innovationfund,climateresilienteurope,1
21,innovationfund,euhaveyoursay,1
22,innovationfund,climateneutraleu,1
23,escazuya,climatestrikeonline,1
24,escazuya,climatechange,1
25,escazuya,stayhomestaysafe,1
26,escazuya,climatejustice,1
27,escazuya,myfuture,1
28,escazuya,deforestation,1
29,escazuya,climatechangeisreal,1
30,escazuya,fridaysforfuture,1
31,escazuya,schoolstrike4climate,1
32,escazuya,onebilliontreesforafrica,1
33,escazuya,actonsahel,1
34,escazuya,FridaysForFuture,1
35,escazuya,facetheclimateemergency,1
36,escazuya,climatestrike,1
37,escazuya,fridaythoughts,1
38,escazuya,climate,1
39,assam,airpollution,1
40,assam,floods,1
41,assam,future,1
42,assam,walking,1
43,assam,bicycle,1
44,assam,smogtowers,1
45,assam,climatecrisis,1
46,assam,bihar,1
47,assam,actnow,1
48,assam,climateemergency,1
49,assam,climateaction,1
50,assam,climatebreakdown,1
51,assam,ebikes,1
52,assam,resetforbiking,1
53,assam,deforestation,1
54,assam,fridaysforfuture,1
55,assam,covid19,1
56,assam,bikelife,1
57,assam,cycling,1
58,assam,delhi,1
59,assam,FridaysForFuture,1
60,assam,climatestrike,1
61,assam,eia2020draft,1
62,assam,drought,1
63,actonclimate,technology,1
64,actonclimate,solarpanels,1
65,actonclimate,sayno2plastic,1
66,actonclimate,bees,1
67,actonclimate,climateemergency,1
68,actonclimate,climateaction,2
69,actonclimate,environmental,1
70,actonclimate,panelsnotpipelines,1
71,actonclimate,crafting,1
72,actonclimate,energy,2
73,actonclimate,greenplanet,1
74,actonclimate,wealthinequality,1
75,actonclimate,sharingsolutions,1
76,actonclimate,greenenergy,1
77,actonclimate,insect,1
78,actonclimate,renewableenergy,2
79,actonclimate,enduselesspackaging,1
80,actonclimate,fornature,1
81,actonclimate,showers,1
82,actonclimate,climate,2
83,actonclimate,climatechange,2
84,actonclimate,sustainable,2
85,actonclimate,singleuseplastic,1
86,actonclimate,globalwarming,1
87,actonclimate,solarenergy,1
88,actonclimate,ashtag,1
89,actonclimate,vinegar,1
90,actonclimate,water,1
91,actonclimate,emails,1
92,actonclimate,deforestation,2
93,actonclimate,renewables,2
94,actonclimate,tech,1
95,actonclimate,biodiversity,1
96,actonclimate,garbagepatch,1
97,actonclimate,environmentallyfriendly,1
98,actonclimate,antarctica,1
99,actonclimate,wrapping,1
100,actonclimate,plasticfree,1
101,actonclimate,storage,1
102,actonclimate,solar,1
103,actonclimate,actnow,1
104,actonclimate,justrecovery,1
105,actonclimate,go100re,1
106,actonclimate,cleanenergy,1
107,actonclimate,book,1
108,actonclimate,action,1
109,actonclimate,naturenow,1
110,actonclimate,bee,1
111,actonclimate,CleanTech,1
112,actonclimate,denmark,1
113,actonclimate,wasteless,1
114,actonclimate,ecocide,1
115,actonclimate,climateemergenecy,1
116,actonclimate,keepitintheground,1
117,actonclimate,cleantech,1
118,actonclimate,flowers,1
119,actonclimate,greennewdeal,1
120,actonclimate,climatecrisis,3
121,actonclimate,zerowaste,1
122,actonclimate,savetheplanet,1
123,actonclimate,sdgs,1
124,actonclimate,emissions,1
125,actonclimate,actonclimatechange,1
126,actonclimate,wind,1
127,actonclimate,greenhouse,1
128,actonclimate,pollution,1
129,actonclimate,365sustainabledecisions,1
130,actonclimate,sustainability,2
131,actonclimate,art,1
132,actonclimate,upcycling,1
133,actonclimate,cdnpoli,1
134,actonclimate,climatestrike,1
135,actonclimate,insects,1
136,actonclimate,questionnaire,1
137,sayno2plastic,wrapping,1
138,sayno2plastic,plasticfree,1
139,sayno2plastic,storage,1
140,sayno2plastic,actnow,1
141,sayno2plastic,bees,1
142,sayno2plastic,climateaction,1
143,sayno2plastic,crafting,1
144,sayno2plastic,energy,1
145,sayno2plastic,greenplanet,1
146,sayno2plastic,book,1
147,sayno2plastic,sharingsolutions,1
148,sayno2plastic,naturenow,1
149,sayno2plastic,bee,1
150,sayno2plastic,questionnaire,1
151,sayno2plastic,insect,1
152,sayno2plastic,fornature,1
153,sayno2plastic,showers,1
154,sayno2plastic,flowers,1
155,sayno2plastic,sustainable,1
156,sayno2plastic,singleuseplastic,1
157,sayno2plastic,climatecrisis,1
158,sayno2plastic,zerowaste,1
159,sayno2plastic,savetheplanet,1
160,sayno2plastic,sdgs,1
161,sayno2plastic,ashtag,1
162,sayno2plastic,vinegar,1
163,sayno2plastic,water,1
164,sayno2plastic,actonclimatechange,1
165,sayno2plastic,emails,1
166,sayno2plastic,365sustainabledecisions,1
167,sayno2plastic,sustainability,1
168,sayno2plastic,art,1
169,sayno2plastic,upcycling,1
170,sayno2plastic,insects,1
171,sayno2plastic,environmentallyfriendly,1
172,plasticfreeamazon,ocean,1
173,plasticfreeamazon,plasticpollution,1
174,plasticfreeamazon,amazon,1
175,plasticfreeamazon,breakfreefromplastic,1
176,plasticfreeamazon,protectourcoast,1
177,plasticfreeamazon,plasticfree,1
178,plasticfreeamazon,microplastics,1
179,plasticfreeamazon,biodiversity,1
180,competition,win,1
181,competition,vegan,1
182,competition,giveaway,1
183,competition,chocolate,1
184,competition,plantbased,1
185,competition,plasticfree,1
186,bees,wrapping,1
187,bees,plasticfree,1
188,bees,storage,1
189,bees,actnow,1
190,bees,climateaction,1
191,bees,crafting,1
192,bees,energy,1
193,bees,greenplanet,1
194,bees,book,1
195,bees,sharingsolutions,1
196,bees,naturenow,1
197,bees,bee,1
198,bees,questionnaire,1
199,bees,insect,1
200,bees,fornature,1
201,bees,showers,1
202,bees,flowers,1
203,bees,sustainable,1
204,bees,singleuseplastic,1
205,bees,climatecrisis,1
206,bees,zerowaste,1
207,bees,savetheplanet,1
208,bees,sdgs,1
209,bees,ashtag,1
210,bees,vinegar,1
211,bees,water,1
212,bees,actonclimatechange,1
213,bees,emails,1
214,bees,365sustainabledecisions,1
215,bees,sustainability,1
216,bees,art,1
217,bees,upcycling,1
218,bees,insects,1
219,bees,environmentallyfriendly,1
220,climateemergency,technology,1
221,climateemergency,floods,1
222,climateemergency,future,1
223,climateemergency,antarctica,1
224,climateemergency,smogtowers,1
225,climateemergency,solarpanels,1
226,climateemergency,solar,1
227,climateemergency,bihar,1
228,climateemergency,justrecovery,1
229,climateemergency,actnow,1
230,climateemergency,climateaction,2
231,climateemergency,go100re,1
232,climateemergency,panelsnotpipelines,1
233,climateemergency,climatebreakdown,1
234,climateemergency,energy,1
235,climateemergency,wealthinequality,1
236,climateemergency,fridaysforfuture,2
237,climateemergency,cleanenergy,1
238,climateemergency,action,1
239,climateemergency,covid19,1
240,climateemergency,bikelife,1
241,climateemergency,CleanTech,1
242,climateemergency,greenenergy,1
243,climateemergency,makeecocideacrime,1
244,climateemergency,facetheclimateemergency,1
245,climateemergency,renewableenergy,1
246,climateemergency,wasteless,1
247,climateemergency,enduselesspackaging,1
248,climateemergency,denmark,1
249,climateemergency,climateemergenecy,1
250,climateemergency,keepitintheground,1
251,climateemergency,climate,1
252,climateemergency,airpollution,1
253,climateemergency,cleantech,1
254,climateemergency,walking,1
255,climateemergency,bicycle,1
256,climateemergency,climatechange,1
257,climateemergency,greennewdeal,1
258,climateemergency,climatecrisis,2
259,climateemergency,sustainable,1
260,climateemergency,solarenergy,1
261,climateemergency,wind,1
262,climateemergency,ebikes,1
263,climateemergency,resetforbiking,1
264,climateemergency,sustainability,1
265,climateemergency,deforestation,2
266,climateemergency,schoolstrike4climate,1
267,climateemergency,renewables,1
268,climateemergency,cycling,1
269,climateemergency,cdnpoli,1
270,climateemergency,FridaysForFuture,2
271,climateemergency,delhi,1
272,climateemergency,climatestrike,3
273,climateemergency,eia2020draft,1
274,climateemergency,tech,1
275,climateemergency,garbagepatch,1
276,climateemergency,drought,1
277,climateaction,technology,1
278,climateaction,smogtowers,1
279,climateaction,solarpanels,1
280,climateaction,panelsnotpipelines,1
281,climateaction,crafting,1
282,climateaction,energy,2
283,climateaction,greenplanet,1
284,climateaction,wealthinequality,1
285,climateaction,sharingsolutions,1
286,climateaction,greenenergy,1
287,climateaction,insect,1
288,climateaction,renewableenergy,1
289,climateaction,enduselesspackaging,1
290,climateaction,showers,1
291,climateaction,airpollution,1
292,climateaction,fornature,1
293,climateaction,climate,1
294,climateaction,bicycle,1
295,climateaction,climatechange,1
296,climateaction,sustainable,2
297,climateaction,singleuseplastic,1
298,climateaction,solarenergy,1
299,climateaction,ashtag,1
300,climateaction,vinegar,1
301,climateaction,water,1
302,climateaction,emails,1
303,climateaction,deforestation,2
304,climateaction,renewables,1
305,climateaction,delhi,1
306,climateaction,FridaysForFuture,1
307,climateaction,eia2020draft,1
308,climateaction,tech,1
309,climateaction,garbagepatch,1
310,climateaction,environmentallyfriendly,1
311,climateaction,floods,1
312,climateaction,future,1
313,climateaction,antarctica,1
314,climateaction,wrapping,1
315,climateaction,plasticfree,1
316,climateaction,storage,1
317,climateaction,bihar,1
318,climateaction,solar,1
319,climateaction,actnow,2
320,climateaction,justrecovery,1
321,climateaction,go100re,1
322,climateaction,climatebreakdown,1
323,climateaction,fridaysforfuture,1
324,climateaction,cleanenergy,1
325,climateaction,book,1
326,climateaction,covid19,1
327,climateaction,action,1
328,climateaction,naturenow,1
329,climateaction,bikelife,1
330,climateaction,bee,1
331,climateaction,CleanTech,1
332,climateaction,denmark,1
333,climateaction,wasteless,1
334,climateaction,climateemergenecy,1
335,climateaction,cleantech,1
336,climateaction,flowers,1
337,climateaction,walking,1
338,climateaction,greennewdeal,1
339,climateaction,climatecrisis,3
340,climateaction,zerowaste,1
341,climateaction,savetheplanet,1
342,climateaction,sdgs,1
343,climateaction,actonclimatechange,1
344,climateaction,wind,1
345,climateaction,ebikes,1
346,climateaction,resetforbiking,1
347,climateaction,365sustainabledecisions,1
348,climateaction,sustainability,2
349,climateaction,art,1
350,climateaction,upcycling,1
351,climateaction,cycling,1
352,climateaction,cdnpoli,1
353,climateaction,climatestrike,2
354,climateaction,insects,1
355,climateaction,questionnaire,1
356,climateaction,drought,1
357,myfuture,climatestrikeonline,1
358,myfuture,climatechange,1
359,myfuture,stayhomestaysafe,1
360,myfuture,climatejustice,1
361,myfuture,deforestation,1
362,myfuture,climatechangeisreal,1
363,myfuture,fridaysforfuture,1
364,myfuture,schoolstrike4climate,1
365,myfuture,onebilliontreesforafrica,1
366,myfuture,actonsahel,1
367,myfuture,FridaysForFuture,1
368,myfuture,facetheclimateemergency,1
369,myfuture,climatestrike,1
370,myfuture,fridaythoughts,1
371,myfuture,climate,1
372,panelsnotpipelines,technology,1
373,panelsnotpipelines,antarctica,1
374,panelsnotpipelines,solarpanels,1
375,panelsnotpipelines,solar,1
376,panelsnotpipelines,justrecovery,1
377,panelsnotpipelines,go100re,1
378,panelsnotpipelines,energy,1
379,panelsnotpipelines,wealthinequality,1
380,panelsnotpipelines,cleanenergy,1
381,panelsnotpipelines,action,1
382,panelsnotpipelines,CleanTech,1
383,panelsnotpipelines,greenenergy,1
384,panelsnotpipelines,denmark,1
385,panelsnotpipelines,renewableenergy,1
386,panelsnotpipelines,wasteless,1
387,panelsnotpipelines,enduselesspackaging,1
388,panelsnotpipelines,climateemergenecy,1
389,panelsnotpipelines,climate,1
390,panelsnotpipelines,cleantech,1
391,panelsnotpipelines,climatechange,1
392,panelsnotpipelines,greennewdeal,1
393,panelsnotpipelines,climatecrisis,1
394,panelsnotpipelines,sustainable,1
395,panelsnotpipelines,solarenergy,1
396,panelsnotpipelines,wind,1
397,panelsnotpipelines,sustainability,1
398,panelsnotpipelines,deforestation,1
399,panelsnotpipelines,renewables,1
400,panelsnotpipelines,cdnpoli,1
401,panelsnotpipelines,climatestrike,1
402,panelsnotpipelines,tech,1
403,panelsnotpipelines,garbagepatch,1
404,energy,technology,1
405,energy,solarpanels,1
406,energy,crafting,1
407,energy,greenplanet,1
408,energy,wealthinequality,1
409,energy,sharingsolutions,1
410,energy,greenenergy,1
411,energy,renewableenergy,1
412,energy,enduselesspackaging,1
413,energy,insect,1
414,energy,showers,1
415,energy,climate,1
416,energy,fornature,1
417,energy,climatechange,2
418,energy,ocean,1
419,energy,sustainable,2
420,energy,singleuseplastic,1
421,energy,solarenergy,1
422,energy,globalwarming,1
423,energy,ashtag,1
424,energy,vinegar,1
425,energy,water,1
426,energy,emails,1
427,energy,living,1
428,energy,deforestation,1
429,energy,renewables,2
430,energy,tech,1
431,energy,biodiversity,1
432,energy,environmentallyfriendly,1
433,energy,garbagepatch,1
434,energy,antarctica,1
435,energy,wrapping,1
436,energy,decarbonizingenergy,1
437,energy,plasticfree,1
438,energy,storage,1
439,energy,solar,1
440,energy,carbon,1
441,energy,actnow,1
442,energy,justrecovery,1
443,energy,go100re,1
444,energy,cleanenergy,1
445,energy,book,1
446,energy,action,1
447,energy,naturenow,1
448,energy,bee,1
449,energy,CleanTech,1
450,energy,denmark,1
451,energy,wasteless,1
452,energy,climateemergenecy,1
453,energy,cleantech,1
454,energy,flowers,1
455,energy,greennewdeal,1
456,energy,climatecrisis,2
457,energy,zerowaste,1
458,energy,savetheplanet,1
459,energy,sdgs,1
460,energy,emissions,1
461,energy,actonclimatechange,1
462,energy,wind,1
463,energy,health,1
464,energy,sustainability,3
465,energy,365sustainabledecisions,1
466,energy,conservation,1
467,energy,art,1
468,energy,upcycling,1
469,energy,cdnpoli,1
470,energy,climatestrike,1
471,energy,insects,1
472,energy,questionnaire,1
473,wealthinequality,technology,1
474,wealthinequality,antarctica,1
475,wealthinequality,solarpanels,1
476,wealthinequality,solar,1
477,wealthinequality,justrecovery,1
478,wealthinequality,go100re,1
479,wealthinequality,cleanenergy,1
480,wealthinequality,action,1
481,wealthinequality,CleanTech,1
482,wealthinequality,greenenergy,1
483,wealthinequality,denmark,1
484,wealthinequality,renewableenergy,1
485,wealthinequality,wasteless,1
486,wealthinequality,enduselesspackaging,1
487,wealthinequality,climateemergenecy,1
488,wealthinequality,climate,1
489,wealthinequality,cleantech,1
490,wealthinequality,climatechange,1
491,wealthinequality,greennewdeal,1
492,wealthinequality,climatecrisis,1
493,wealthinequality,sustainable,1
494,wealthinequality,solarenergy,1
495,wealthinequality,wind,1
496,wealthinequality,sustainability,1
497,wealthinequality,deforestation,1
498,wealthinequality,renewables,1
499,wealthinequality,cdnpoli,1
500,wealthinequality,climatestrike,1
501,wealthinequality,tech,1
502,wealthinequality,garbagepatch,1
503,flattenthecurve,climatestrikeonline,1
504,flattenthecurve,fridaysforfuture,1
505,flattenthecurve,schoolstrike4climate,1
506,flattenthecurve,FridaysForFuture,1
507,flattenthecurve,facetheclimateemergency,1
508,flattenthecurve,stayathome,1
509,eco,greenindiachallage,1
510,eco,greenmitti,1
511,eco,jaihind,1
512,eco,seedganesha,1
513,eco,ecofriendly,1
514,buildbackbetter,cleantech,1
515,buildbackbetter,eugreendeal,1
516,buildbackbetter,euadaptationstrategy,1
517,buildbackbetter,climatechange,1
518,buildbackbetter,CleanTech,1
519,buildbackbetter,greenrecovery,1
520,buildbackbetter,climateresilienteurope,1
521,buildbackbetter,euhaveyoursay,1
522,buildbackbetter,climateneutraleu,1
523,insect,wrapping,1
524,insect,plasticfree,1
525,insect,storage,1
526,insect,actnow,1
527,insect,crafting,1
528,insect,greenplanet,1
529,insect,book,1
530,insect,sharingsolutions,1
531,insect,naturenow,1
532,insect,bee,1
533,insect,questionnaire,1
534,insect,fornature,1
535,insect,showers,1
536,insect,flowers,1
537,insect,sustainable,1
538,insect,singleuseplastic,1
539,insect,climatecrisis,1
540,insect,zerowaste,1
541,insect,savetheplanet,1
542,insect,sdgs,1
543,insect,ashtag,1
544,insect,vinegar,1
545,insect,water,1
546,insect,actonclimatechange,1
547,insect,emails,1
548,insect,365sustainabledecisions,1
549,insect,sustainability,1
550,insect,art,1
551,insect,upcycling,1
552,insect,insects,1
553,insect,environmentallyfriendly,1
554,renewableenergy,technology,1
555,renewableenergy,antarctica,1
556,renewableenergy,solarpanels,1
557,renewableenergy,industry40,1
558,renewableenergy,solar,1
559,renewableenergy,justrecovery,1
560,renewableenergy,ignoreresilientrecovery,1
561,renewableenergy,go100re,1
562,renewableenergy,environmental,1
563,renewableenergy,insane,1
564,renewableenergy,cleanenergy,1
565,renewableenergy,action,1
566,renewableenergy,CleanTech,1
567,renewableenergy,greenenergy,1
568,renewableenergy,denmark,1
569,renewableenergy,wasteless,1
570,renewableenergy,enduselesspackaging,1
571,renewableenergy,climateemergenecy,1
572,renewableenergy,ecocide,1
573,renewableenergy,keepitintheground,1
574,renewableenergy,innovation,1
575,renewableenergy,climate,3
576,renewableenergy,aatmanirbharbharat,1
577,renewableenergy,cleantech,1
578,renewableenergy,climatechange,3
579,renewableenergy,greentechnology,1
580,renewableenergy,projectlion,1
581,renewableenergy,greennewdeal,1
582,renewableenergy,climatecrisis,2
583,renewableenergy,sustainable,1
584,renewableenergy,newzealand,1
585,renewableenergy,dolphin,1
586,renewableenergy,solarenergy,1
587,renewableenergy,globalwarming,1
588,renewableenergy,emissions,1
589,renewableenergy,wind,1
590,renewableenergy,greenhouse,1
591,renewableenergy,pollution,1
592,renewableenergy,sustainability,2
593,renewableenergy,conservation,1
594,renewableenergy,deforestation,2
595,renewableenergy,renewables,4
596,renewableenergy,74thindependenceday,1
597,renewableenergy,cdnpoli,1
598,renewableenergy,dolphins,1
599,renewableenergy,climatestrike,1
600,renewableenergy,tech,2
601,renewableenergy,biodiversity,1
602,renewableenergy,garbagepatch,1
603,enduselesspackaging,technology,1
604,enduselesspackaging,antarctica,1
605,enduselesspackaging,solarpanels,1
606,enduselesspackaging,solar,1
607,enduselesspackaging,justrecovery,1
608,enduselesspackaging,go100re,1
609,enduselesspackaging,cleanenergy,1
610,enduselesspackaging,action,1
611,enduselesspackaging,CleanTech,1
612,enduselesspackaging,greenenergy,1
613,enduselesspackaging,denmark,1
614,enduselesspackaging,wasteless,1
615,enduselesspackaging,climateemergenecy,1
616,enduselesspackaging,climate,1
617,enduselesspackaging,cleantech,1
618,enduselesspackaging,climatechange,1
619,enduselesspackaging,greennewdeal,1
620,enduselesspackaging,climatecrisis,1
621,enduselesspackaging,sustainable,1
622,enduselesspackaging,solarenergy,1
623,enduselesspackaging,wind,1
624,enduselesspackaging,sustainability,1
625,enduselesspackaging,deforestation,1
